Date,Adj Close,Volume,Day_Perc_Change,Name
2018-10-22,26153.150391,2222812200.0,2.3150140092025318,HANG SENG
2018-10-23,25346.550781,1772912000.0,-3.0841393787785165,HANG SENG
2018-10-24,25249.779297,1962753500.0,-0.38179350254056166,HANG SENG
2018-10-25,24994.460938,2288634200.0,-1.011170656174154,HANG SENG
2018-10-26,24717.630859,1688395600.0,-1.107565711005687,HANG SENG
2018-10-29,24812.039063,2000985900.0,0.3819468157710837,HANG SENG
2018-10-30,24585.529297,2100387500.0,-0.912902665616766,HANG SENG
2018-10-31,24979.689453,2363084500.0,1.6032201350576258,HANG SENG
2018-11-01,25416.0,2176972600.0,1.7466612137870374,HANG SENG
2018-11-02,26486.349609,3518978800.0,4.211322037299348,HANG SENG
2018-11-05,25934.390625,1626675400.0,-2.0839375457478937,HANG SENG
2018-11-06,26120.960938,1562913100.0,0.7193934713860317,HANG SENG
2018-11-07,26147.689453,1731287400.0,0.10232592538781393,HANG SENG
2018-11-08,26227.720703,1654626400.0,0.30607388902892385,HANG SENG
2018-11-09,25601.919922,1839798600.0,-2.3860280810768963,HANG SENG
2018-11-12,25633.179688,1171178800.0,0.12209930386173351,HANG SENG
2018-11-13,25792.869141,1689989400.0,0.6229794935458388,HANG SENG
2018-11-14,25654.429688,1431673200.0,-0.5367353753597648,HANG SENG
2018-11-15,26103.339844,1534457400.0,1.7498348685177634,HANG SENG
2018-11-16,26183.529297,1330024100.0,0.307199973180583,HANG SENG
2018-11-19,26372.0,1320040400.0,0.7198063365032814,HANG SENG
2018-11-20,25840.339844,1205800000.0,-2.0160024116487207,HANG SENG
2018-11-21,25971.470703,1397423500.0,0.5074656904346053,HANG SENG
2018-11-22,26019.410156,1010983600.0,0.18458505314626894,HANG SENG
2018-11-23,25927.679688,877061500.0,-0.35254630081938965,HANG SENG
2018-11-26,26376.179688,1611982200.0,1.729811558137917,HANG SENG
2018-11-27,26331.960938,1394358800.0,-0.16764653002465657,HANG SENG
2018-11-28,26682.560547,1415273800.0,1.3314603110095247,HANG SENG
